dataset_name,seed,lm_acc,pseudo_acc,gt_acc,acc_list,overlap_avg_acc,overlap_avg_confidence,nonoverlap_avg_acc,nonoverlap_avg_confidence
basketball,6,0.629827490261547,0.6849427168576104,0.9099836333878887,"[0.6374795417348609, 0.762684124386252, 0.6260229132569558, 0.6497545008183306, 0.6333878887070377, 0.4067103109656301, 0.37643207855973815, 0.39198036006546644, 0.14402618657937807, 0.3076923076923077, 0.10065466448445172]",0.3693181818181818,0.32959080425540493,0.6350323532750596,0.30708943959218094
cdr,6,0.6647686832740214,0.5985448320136957,0.6918467793708538,"[0.5989728225979029, 0.5709394393323347, 0.5786432698480634, 0.619944361224053, 0.6137384977530495, 0.5874170768243099, 0.6126685212925316, 0.6030387331478707, 0.6143804836293602, 0.5940509308795207, 0.6130965118767387]",0.8094405594405595,0.3890243121936346,0.6131553239986975,0.4009533766934124
census,6,0.611067036890123,0.6027885265032861,0.8369879000061421,"[0.625023032983232, 0.6045083225846078, 0.6107732940237086, 0.6074565444383023, 0.5924083287267367, 0.6078250721700141, 0.6008230452674898, 0.5998403046495916, 0.6062281186659296, 0.5898900558933726, 0.5984890362999816]",0.6525029103608847,0.7813099018116658,0.5217932752179327,0.779501747090985
commercial,6,0.8778730703259006,0.8988794023479189,0.9534418356456777,"[0.607657417289221, 0.6451440768409819, 0.7003735325506937, 0.7385272145144077, 0.75, 0.8231056563500534, 0.8272411953041622, 0.8532550693703308, 0.881136606189968, 0.9203575240128068, 0.9494397011739595]",0.9785021374547846,0.7877852818104251,0.5614579294300116,0.7813337905818174
imdb,6,0.7183,0.738,0.7828,"[0.5196, 0.5808, 0.6376, 0.6816, 0.6912, 0.7004, 0.7184, 0.7292, 0.7276, 0.736, 0.7544]",0.7778907611853574,0.522640169918397,0.5850449293966624,0.5269984728466639
mushroom,6,0.8661538461538462,0.8622386223862238,0.997539975399754,"[0.6076260762607626, 0.8757687576875769, 0.8659286592865929, 0.8659286592865929, 0.8671586715867159, 0.8708487084870848, 0.8708487084870848, 0.8622386223862238, 0.8671586715867159, 0.8659286592865929, 0.4944649446494465]",0.8531343283582089,0.9790573531884615,0.8787301587301587,0.9809139942380125
sms,6,0.6360454943132109,0.706,0.974,"[0.24, 0.604, 0.634, 0.692, 0.694, 0.73, 0.876, 0.714, 0.718, 0.862, 0.902]",0.9623955431754875,0.2973013771465183,0.46237244897959184,0.27364290115015366
spambase,6,0.7722826086956521,0.7744034707158352,0.9240780911062907,"[0.648590021691974, 0.7310195227765727, 0.737527114967462, 0.7613882863340564, 0.7765726681127982, 0.7765726681127982, 0.7678958785249458, 0.7852494577006508, 0.7809110629067245, 0.8112798264642083, 0.8741865509761388]",0.8842705786471068,0.6974211714327541,0.531810766721044,0.6362779057650337
tennis,6,0.8520114942528736,0.8114754098360656,0.9034608378870674,"[0.6138433515482696, 0.7805100182149363, 0.7841530054644809, 0.8132969034608379, 0.8114754098360656, 0.8178506375227687, 0.802367941712204, 0.8324225865209471, 0.8387978142076503, 0.8469945355191257, 0.8460837887067395]",0.89540964555491,0.9854959248713967,0.8095508811824901,0.9820379716363
yelp,6,0.6907236842105263,0.666578947368421,0.7905263157894736,"[0.5305263157894737, 0.5692105263157895, 0.6231578947368421, 0.6897368421052632, 0.5689473684210526, 0.6692105263157895, 0.6981578947368421, 0.6707894736842105, 0.6971052631578948, 0.7176315789473684, 0.6510526315789473]",0.7758812241187759,0.5510064694235455,0.5327420267975089,0.5390831874733063
